t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,3.503401067e-02,1.981226373e-01,0.000000000e+00,9.889938096e-02,2.939837890e-02,2.187239915e+00,0.000000000e+00,8.516281788e-02,4.467555e-16,0.000000e+00,0.000000e+00,1.874766e-03
0.010000,3.504157734e-02,1.980800478e-01,8.890607848e-03,9.887819057e-02,2.937322118e-02,2.142471208e+00,0.000000000e+00,8.515698300e-02,4.467555e-16,2.168404e-18,5.357107e-20,1.739206e-03
0.020000,3.506230557e-02,1.979648326e-01,1.704538084e-02,9.882086511e-02,2.930466207e-02,2.026164808e+00,0.000000000e+00,8.513988530e-02,6.759063e-16,7.807009e-18,1.564422e-19,1.802656e-03
0.030000,3.509515243e-02,1.977826404e-01,2.455923258e-02,9.873021448e-02,2.919615704e-02,1.915708794e+00,0.000000000e+00,8.510214464e-02,1.130178e-16,5.214325e-18,6.305931e-19,2.288504e-03
0.040000,3.513913817e-02,1.975387092e-01,3.147645436e-02,9.860884406e-02,2.905095653e-02,1.810863620e+00,0.000000000e+00,8.503668121e-02,2.248931e-16,1.852685e-18,2.424350e-19,1.624550e-03
0.050000,3.519333933e-02,1.972378963e-01,3.783837523e-02,9.845916955e-02,2.887211679e-02,1.711390920e+00,0.000000000e+00,8.493832890e-02,4.531766e-16,1.769078e-17,1.629913e-18,1.792405e-03
0.060000,3.525688276e-02,1.968847057e-01,4.368353946e-02,9.828343076e-02,2.866251010e-02,1.617054526e+00,0.000000000e+00,8.480350378e-02,2.784015e-17,7.181970e-18,1.085557e-18,1.629921e-03
0.070000,3.532894051e-02,1.964833134e-01,4.904789404e-02,9.808370432e-02,2.842483455e-02,1.527621419e+00,0.000000000e+00,8.462992214e-02,1.570482e-16,7.410742e-18,2.171113e-18,1.752398e-03
0.080000,3.540872560e-02,1.960375917e-01,5.396496579e-02,9.786191561e-02,2.816162337e-02,1.442862606e+00,0.000000000e+00,8.441636123e-02,2.225307e-16,7.564593e-18,1.355253e-18,1.641212e-03
0.090000,3.549548834e-02,1.955511305e-01,5.846602640e-02,9.761984966e-02,2.787525367e-02,1.362553913e+00,0.000000000e+00,8.416245664e-02,9.024835e-17,9.813078e-18,7.893111e-19,2.121501e-03
0.100000,3.558851339e-02,1.950272585e-01,6.258024596e-02,9.735916136e-02,2.756795489e-02,1.286476688e+00,0.000000000e+00,8.386853110e-02,4.586113e-16,3.804546e-17,4.470280e-18,1.635902e-03
0.110000,3.568711726e-02,1.944690614e-01,6.633483579e-02,9.708138491e-02,2.724181671e-02,1.214418405e+00,0.000000000e+00,8.353545022e-02,2.487030e-16,1.097135e-17,1.693578e-18,1.768640e-03
0.120000,3.579064633e-02,1.938793998e-01,6.975518104e-02,9.678794254e-02,2.689879664e-02,1.146173186e+00,0.000000000e+00,8.316450131e-02,6.667153e-16,1.250927e-17,5.016705e-18,1.646943e-03
0.130000,3.589847516e-02,1.932609255e-01,7.286496417e-02,9.648015266e-02,2.654072718e-02,1.081542226e+00,0.000000000e+00,8.275729196e-02,4.495487e-16,3.065360e-17,2.045669e-18,1.817408e-03
0.140000,3.601000518e-02,1.926160968e-01,7.568627958e-02,9.615923737e-02,2.616932265e-02,1.020334140e+00,0.000000000e+00,8.231566549e-02,4.449836e-16,3.648079e-17,2.893012e-18,1.668686e-03
0.150000,3.612466364e-02,1.919471919e-01,7.823974035e-02,9.582632942e-02,2.578618564e-02,9.623652209e-01,0.000000000e+00,8.184163073e-02,1.131334e-16,2.921155e-17,8.467890e-19,1.807657e-03
0.160000,3.624190269e-02,1.912563226e-01,8.054457744e-02,9.548247874e-02,2.539281321e-02,9.074596365e-01,0.000000000e+00,8.133730415e-02,1.274527e-16,1.323970e-17,3.060832e-18,1.620820e-03
0.170000,3.636119870e-02,1.905454460e-01,8.261873204e-02,9.512865839e-02,2.499060268e-02,8.554495484e-01,0.000000000e+00,8.080486239e-02,7.832129e-16,3.486751e-17,5.280410e-18,1.802616e-03
0.180000,3.648205168e-02,1.898163758e-01,8.447894151e-02,9.476577014e-02,2.458085717e-02,8.061751779e-01,0.000000000e+00,8.024650361e-02,3.331843e-16,9.511364e-18,3.066587e-19,1.641362e-03
0.190000,3.660398475e-02,1.890707926e-01,8.614081935e-02,9.439464965e-02,2.416479088e-02,7.594848169e-01,0.000000000e+00,7.966441639e-02,2.499481e-16,2.797158e-17,2.528772e-18,1.804565e-03
0.200000,3.672654372e-02,1.883102535e-01,8.761892967e-02,9.401607127e-02,2.374353406e-02,7.152347941e-01,0.000000000e+00,7.906075495e-02,1.214562e-16,1.387779e-17,6.679953e-18,1.638073e-03
0.210000,3.684929670e-02,1.875362014e-01,8.892685658e-02,9.363075243e-02,2.331813774e-02,6.732894034e-01,0.000000000e+00,7.843761970e-02,4.578193e-16,1.788112e-17,1.371419e-18,1.755609e-03
0.220000,3.697183373e-02,1.867499727e-01,9.007726879e-02,9.323935781e-02,2.288957825e-02,6.335208018e-01,0.000000000e+00,7.779704228e-02,1.778916e-16,2.235456e-17,2.528772e-18,1.634192e-03
0.230000,3.709376639e-02,1.859528055e-01,9.108197986e-02,9.284250316e-02,2.245876144e-02,5.958088836e-01,0.000000000e+00,7.714097440e-02,1.576977e-16,2.834893e-17,7.023086e-18,1.750928e-03
0.240000,3.721472748e-02,1.851458465e-01,9.195200433e-02,9.244075882e-02,2.202652674e-02,5.600411390e-01,0.000000000e+00,7.647127971e-02,1.119006e-16,1.441622e-17,1.478496e-17,1.641742e-03
0.250000,3.733437059e-02,1.843301576e-01,9.269761004e-02,9.203465300e-02,2.159365097e-02,5.261125033e-01,0.000000000e+00,7.578972837e-02,4.454679e-16,2.913419e-17,1.194986e-17,1.648643e-03
0.260000,3.745236977e-02,1.835067221e-01,9.332836700e-02,9.162467488e-02,2.116085200e-02,4.939252053e-01,0.000000000e+00,7.509799368e-02,2.221907e-16,8.420559e-18,1.675715e-17,1.687799e-03
0.270000,3.756841905e-02,1.826764505e-01,9.385319291e-02,9.121127741e-02,2.072879218e-02,4.633886214e-01,0.000000000e+00,7.439765052e-02,1.144926e-16,3.786955e-17,2.917290e-18,1.811646e-03
0.280000,3.768223207e-02,1.818401855e-01,9.428039570e-02,9.079487990e-02,2.029808158e-02,4.344191428e-01,0.000000000e+00,7.369017516e-02,4.443367e-16,6.505213e-18,2.335443e-18,1.635411e-03
0.290000,3.779354158e-02,1.809987071e-01,9.461771325e-02,9.037587052e-02,1.986928113e-02,4.069400659e-01,0.000000000e+00,7.297694627e-02,3.333742e-16,2.809235e-17,5.315909e-18,1.715503e-03
0.300000,3.790209897e-02,1.801527374e-01,9.487235041e-02,8.995460853e-02,1.944290547e-02,3.808815116e-01,0.000000000e+00,7.225924678e-02,1.145123e-16,6.938894e-18,1.175947e-17,1.621300e-03
0.310000,3.800767379e-02,1.793029440e-01,9.505101369e-02,8.953142633e-02,1.901942582e-02,3.561803848e-01,0.000000000e+00,7.153826648e-02,4.495296e-16,3.529907e-17,2.429000e-17,1.652813e-03
0.320000,3.811005321e-02,1.784499449e-01,9.515994359e-02,8.910663150e-02,1.859927252e-02,3.327803824e-01,0.000000000e+00,7.081510515e-02,2.483598e-16,2.168404e-18,1.101626e-17,1.637682e-03
0.330000,3.820904149e-02,1.775943116e-01,9.520494491e-02,8.868050850e-02,1.818283758e-02,3.106320589e-01,0.000000000e+00,7.009077612e-02,3.402403e-16,1.902273e-17,1.301765e-17,1.763049e-03
0.340000,3.830445940e-02,1.767365723e-01,9.519141498e-02,8.825332040e-02,1.777047699e-02,2.896929589e-01,0.000000000e+00,6.936621006e-02,3.511736e-16,3.705371e-17,2.819009e-17,1.748277e-03
0.350000,3.839614371e-02,1.758772155e-01,9.512437021e-02,8.782531045e-02,1.736251299e-02,2.699278234e-01,0.000000000e+00,6.864225901e-02,3.348915e-16,3.522172e-17,1.094776e-17,1.737686e-03
0.360000,3.848394655e-02,1.750166926e-01,9.500847078e-02,8.739670345e-02,1.695923613e-02,2.513088708e-01,0.000000000e+00,6.791970048e-02,8.891642e-16,1.989740e-17,6.209365e-18,1.629400e-03
0.370000,3.856773488e-02,1.741554206e-01,9.484804387e-02,8.696770715e-02,1.656090731e-02,2.338161475e-01,0.000000000e+00,6.719924161e-02,1.144950e-16,5.129182e-17,1.226635e-18,1.757449e-03
0.380000,3.864738985e-02,1.732937847e-01,9.464710536e-02,8.653851344e-02,1.616775964e-02,2.174379247e-01,0.000000000e+00,6.648152335e-02,2.498036e-16,1.170938e-17,1.125901e-17,1.636542e-03
